id,product_name,inventory,supplier_name
1,Apple Fuji,120,FreshMart Supplier Co.
2,Banana Cavendish,95,Toko Bu Sari
3,Orange Navel,80,Pasar Lama Wholesale
4,Whole Milk 1L,200,GoldenCow Dairy
5,Cheddar Cheese Block,60,PT Sumber Makmur Jaya Sentosa
6,Fresh Eggs 12pcs,150,Pasar Anyar
7,White Bread Loaf,90,RotiKu Supply
8,Rice Premium 5kg,75,UD Berkah Tani
9,Chicken Breast 1kg,50,PT Daging Nasional
10,Ground Beef 1kg,40,Pasar Induk Kramat Jati
11,Bottled Water 600ml,300,AquaPlus Distribution
12,Instant Noodles Beef,220,MiniMart 88
13,Detergent Powder 2kg,70,Toko Ibu Rini
14,Cooking Oil 1L,130,PT Harapan Sejahtera
15,Sugar 1kg,100,Pasar Tradisi
16,Toothpaste Mint 150g,85,SmileCare Distributor
17,Shampoo Herbal 250ml,60,PT Mandiri Bersih
18,Tissue Box 200 sheets,110,Toko Pak Heru
19,Chocolate Bar 50g,140,Pasar Desa
20,Yogurt Strawberry Cup,55,FreshLine Foods
